,fam_type,fam_name,clusters_in_fam,mibig_ids
11,known_family,salinichelins,16,BGC0001767.1
12,known_family,"furaquinocin B;napyradiomycin A80915C;lomofungin;napyradiomycin;pyocyanine;streptophenazine B;streptophenazine C;streptophenazine F;streptophenazine G;streptophenazine H;merochlorin A;merochlorin B;deschloro-merochlorin A;deschloro-merochlorin B;isochloro-merochlorin B;dichloro-merochlorin B;merochlorin D;merochlorin C;marinophenazine A;phenaziterpene A;endophenazine A;endophenazine B;5-acetyl-5,10-dihydrophenazine-1-carboxylic acid;5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid;endophenazine A1;endophenazine F;endophenazine G",15,BGC0001078.1;BGC0001079.1;BGC0001302.1;BGC0000652.1;BGC0000936.1;BGC0002010.1;BGC0001083.1;BGC0001221.1;BGC0001080.1;BGC0000934.1
13,known_family,isorenieratene;isorenieratene;isorenieratene;carotenoid;carotenoid,15,BGC0000664.1;BGC0001456.1;BGC0001227.1;BGC0000633.1;BGC0000649.1
14,known_family,venezuelin,12,BGC0000563.1
15,unknown_family,u_Terpene_15,12,
16,unknown_family,u_RiPPs_16,11,
17,unknown_family,u_Others_17,10,
18,unknown_family,u_Others_18,10,
19,unknown_family,u_PKSother_19,10,
20,unknown_family,u_NRPS_20,10,
21,known_family,2-methylisoborneol,10,BGC0000658.1
22,unknown_family,u_Others_22,9,
23,unknown_family,u_Others_23,9,
24,unknown_family,u_RiPPs_24,8,
25,unknown_family,u_RiPPs_25,8,
26,unknown_family,u_Others_26,7,
27,known_family,frontalamide B;clifednamide A;SGR PTMs;heat-stable antifungal factor;pactamides,7,BGC0000996.1;BGC0001553.1;BGC0001043.1;BGC0000999.1;BGC0001726.1
28,known_family,venemycin,7,BGC0001819.1
29,known_family,chloramphenicol,7,BGC0000893.1
30,unknown_family,u_Others_30,6,
31,unknown_family,u_Others_31,6,
32,unknown_family,u_Others_32,6,
33,unknown_family,u_NRPS_33,6,
34,unknown_family,u_RiPPs_34,6,
35,unknown_family,u_PKSI_35,5,
36,unknown_family,u_Others_36,5,
37,unknown_family,u_Others_37,5,
38,unknown_family,u_Others_38,5,
39,unknown_family,u_PKSother_39,5,
40,unknown_family,u_NRPS_40,5,
41,unknown_family,u_NRPS_41,5,
42,unknown_family,u_Terpene_42,5,
43,unknown_family,u_Terpene_43,5,
44,unknown_family,u_Terpene_44,5,
45,unknown_family,u_Terpene_45,5,
46,known_family,coelimycin P1,3,BGC0000038.1
47,unknown_family,u_Others_47,3,
48,known_family,branched-chain fatty acids,3,BGC0001535.1
49,unknown_family,u_Others_49,3,
50,unknown_family,u_NRPS_50,3,
51,known_family,cypemycin,3,BGC0000582.1
52,unknown_family,u_Others_52,2,
53,unknown_family,u_Others_53,2,
54,unknown_family,u_Others_54,2,
55,unknown_family,u_Others_55,2,
56,unknown_family,u_Others_56,2,
57,unknown_family,u_PKS-NRP_Hybrids_57,2,
58,unknown_family,u_PKS-NRP_Hybrids_58,2,
59,unknown_family,u_PKS-NRP_Hybrids_59,2,
60,unknown_family,u_PKS-NRP_Hybrids_60,2,
61,unknown_family,u_PKS-NRP_Hybrids_61,2,
62,unknown_family,u_NRPS_62,2,
63,unknown_family,u_NRPS_63,2,
64,unknown_family,u_NRPS_64,2,
65,unknown_family,u_RiPPs_65,2,
66,unknown_family,u_RiPPs_66,2,
67,unknown_family,u_RiPPs_67,2,
68,unknown_family,u_Terpene_68,2,
69,unknown_family,u_Terpene_69,2,
70,unknown_family,u_Terpene_70,2,
71,unknown_family,u_Others_71,1,
72,unknown_family,u_Others_72,1,
73,unknown_family,u_Others_73,1,
74,unknown_family,u_Others_74,1,
75,unknown_family,u_Others_75,1,
76,unknown_family,u_Others_76,1,
77,unknown_family,u_Others_77,1,
78,unknown_family,u_Others_78,1,
79,unknown_family,u_Others_79,1,
80,unknown_family,u_Others_80,1,
81,unknown_family,u_Others_81,1,
82,unknown_family,u_PKS-NRP_Hybrids_82,1,
83,unknown_family,u_PKSother_83,1,
84,unknown_family,u_PKSother_84,1,
85,unknown_family,u_PKSother_85,1,
86,unknown_family,u_PKSother_86,1,
87,unknown_family,u_NRPS_87,1,
88,unknown_family,u_NRPS_88,1,
89,unknown_family,u_NRPS_89,1,
90,unknown_family,u_NRPS_90,1,
91,unknown_family,u_NRPS_91,1,
92,unknown_family,u_NRPS_92,1,
93,unknown_family,u_NRPS_93,1,
94,unknown_family,u_NRPS_94,1,
95,unknown_family,u_NRPS_95,1,
96,unknown_family,u_NRPS_96,1,
97,unknown_family,u_RiPPs_97,1,
98,unknown_family,u_RiPPs_98,1,
99,unknown_family,u_RiPPs_99,1,
100,unknown_family,u_RiPPs_100,1,
101,unknown_family,u_RiPPs_101,1,
102,unknown_family,u_RiPPs_102,1,
103,unknown_family,u_RiPPs_103,1,
104,unknown_family,u_RiPPs_104,1,
105,unknown_family,u_RiPPs_105,1,
106,unknown_family,u_RiPPs_106,1,
107,unknown_family,u_RiPPs_107,1,
108,unknown_family,u_RiPPs_108,1,
109,unknown_family,u_Terpene_109,1,
110,unknown_family,u_Terpene_110,1,
111,unknown_family,u_Terpene_111,1,
112,unknown_family,u_Terpene_112,1,
113,unknown_family,u_Terpene_113,1,
114,unknown_family,u_Terpene_114,1,
115,unknown_family,u_Terpene_115,1,
