,product,bigscape_class,genome_id,accn_id,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40,fam_id_0.50,fam_type_0.50,fam_known_compounds_0.50
NC_018750.1.region020,butyrolactone.T2PKS,Others,GCF_000253235.1,NC_018750.1,2297,2414,2414,36,4,unknown_family,u_Others_4,5,unknown_family,u_Others_5,1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8
NC_018750.1.region021,NAPAA,NRPS,GCF_000253235.1,NC_018750.1,2415,2415,2415,2175,27,unknown_family,u_NRPS_27,30,unknown_family,u_NRPS_30,33,unknown_family,u_NRPS_33
NC_018750.1.region022,NRPS-like.ladderane.thioamide-NRP.NRPS.RRE-containing,Others,GCF_000253235.1,NC_018750.1,2416,2416,2416,2416,21,unknown_family,u_Others_21,23,unknown_family,u_Others_23,26,unknown_family,u_Others_26
NC_018750.1.region023,terpene,Terpene,GCF_000253235.1,NC_018750.1,2263,2294,2294,,5,unknown_family,u_Terpene_5,3,known_family,hopene,6,known_family,hopene
NC_018750.1.region024,lanthipeptide-class-iii,RiPPs,GCF_000253235.1,NC_018750.1,2418,2418,2418,2418,19,unknown_family,u_RiPPs_19,22,unknown_family,u_RiPPs_22,25,unknown_family,u_RiPPs_25
NC_018750.1.region025,RiPP-like,RiPPs,GCF_000253235.1,NC_018750.1,2131,2131,2131,552,28,unknown_family,u_RiPPs_28,13,unknown_family,u_RiPPs_13,16,unknown_family,u_RiPPs_16
NC_018750.1.region026,T2PKS,PKSother,GCF_000253235.1,NC_018750.1,2420,2163,2420,,16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin,10,known_family,arixanthomycin A;arixanthomycin B;arixanthomycin C;BE-24566B;formicamycins A-M;pradimicin-A;spore pigment;BE-24566B;zunyimycin A;curamycin,3,known_family,erdacin;spore pigment;aranciamycin;curamycin;granaticin;huanglongmycin A;huanglongmycin B;huanglongmycin C;actinorhodin;kinamycin;naphtocyclinone;pradimicin-A;spore pigment;auricin;jadomycin;griseusin;fluostatin;granaticin;rabelomycin;dehydrorabelomycin;fluostatin F;fluostatin G;fluostatin H;frigocyclinone;oviedomycin;BE-7585A;paramagnetoquinone 1;paramagnetoquinone 2;arixanthomycin A;arixanthomycin B;arixanthomycin C;kiamycin;TLN-05220;fluostatins M-Q;BE-24566B;lugdunomycin;setomimycin;mayamycin;julichrome Q3-3;julichrome Q3-5;formicamycins A-M;anthrabenzoxocinone;BE-24566B;zunyimycin A;gilvocarcin V;oviedomycin
NC_018750.1.region027,melanin,Others,GCF_000253235.1,NC_018750.1,2421,2421,2421,2421,7,unknown_family,u_Others_7,7,unknown_family,u_Others_7,8,known_family,melanin
NC_018750.1.region028,NRPS,NRPS,GCF_000253235.1,NC_018750.1,2422,2422,2422,2175,8,unknown_family,u_NRPS_8,8,unknown_family,u_NRPS_8,11,known_family,salinichelins
NC_018750.1.region029,terpene,Terpene,GCF_000253235.1,NC_018750.1,2423,2423,2423,,31,unknown_family,u_Terpene_31,33,unknown_family,u_Terpene_33,21,known_family,2-methylisoborneol
NC_018750.1.region030,T3PKS,PKSother,GCF_000253235.1,NC_018750.1,2136,2136,2136,,38,unknown_family,u_PKSother_38,40,unknown_family,u_PKSother_40,39,unknown_family,u_PKSother_39
NC_018750.1.region031,NRPS.terpene,Others,GCF_000253235.1,NC_018750.1,2079,2079,2079,36,25,unknown_family,u_Others_25,27,unknown_family,u_Others_27,31,unknown_family,u_Others_31
NZ_LQYF01000001.1.region001,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000001,2023,2206,2206,2175,45,unknown_family,u_NRPS_45,42,unknown_family,u_NRPS_42,41,unknown_family,u_NRPS_41
NZ_LQYF01000001.1.region002,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000001,2207,2207,2207,,42,unknown_family,u_Terpene_42,44,unknown_family,u_Terpene_44,43,unknown_family,u_Terpene_43
NZ_LQYF01000001.1.region003,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000001,2263,2294,2294,,5,unknown_family,u_Terpene_5,3,known_family,hopene,6,known_family,hopene
NZ_LQYF01000001.1.region004,butyrolactone.furan,Others,GCF_001592685.1,NZ_LQYF01000001,2324,2324,2324,36,37,unknown_family,u_Others_37,39,unknown_family,u_Others_39,38,unknown_family,u_Others_38
NZ_LQYF01000001.1.region005,T2PKS.oligosaccharide,Others,GCF_001592685.1,NZ_LQYF01000001,2323,2323,2032,36,34,unknown_family,u_Others_34,36,unknown_family,u_Others_36,1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8
NZ_LQYF01000001.1.region006,NRPS.butyrolactone,Others,GCF_001592685.1,NZ_LQYF01000001,2322,2322,2033,36,4,unknown_family,u_Others_4,5,unknown_family,u_Others_5,1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8
NZ_LQYF01000001.1.region007,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000001,2034,2034,2321,,40,unknown_family,u_Terpene_40,9,known_family,isorenieratene;isorenieratene;isorenieratene;carotenoid;carotenoid,13,known_family,isorenieratene;isorenieratene;isorenieratene;carotenoid;carotenoid
NZ_LQYF01000001.1.region008,RiPP-like,RiPPs,GCF_001592685.1,NZ_LQYF01000001,2015,2015,2015,552,9,unknown_family,u_RiPPs_9,11,unknown_family,u_RiPPs_11,9,unknown_family,u_RiPPs_9
NZ_LQYF01000001.1.region009,siderophore,Others,GCF_001592685.1,NZ_LQYF01000001,2014,2014,2014,36,6,unknown_family,u_Others_6,6,unknown_family,u_Others_6,10,unknown_family,u_Others_10
NZ_LQYF01000001.1.region010,melanin,Others,GCF_001592685.1,NZ_LQYF01000001,2332,2332,2332,36,3,unknown_family,u_Others_3,4,unknown_family,u_Others_4,7,unknown_family,u_Others_7
NZ_LQYF01000001.1.region011,phenazine.NRPS,Others,GCF_001592685.1,NZ_LQYF01000001,2012,2012,2012,36,33,unknown_family,u_Others_33,35,unknown_family,u_Others_35,12,known_family,"furaquinocin B;napyradiomycin A80915C;lomofungin;napyradiomycin;pyocyanine;streptophenazine B;streptophenazine C;streptophenazine F;streptophenazine G;streptophenazine H;merochlorin A;merochlorin B;deschloro-merochlorin A;deschloro-merochlorin B;isochloro-merochlorin B;dichloro-merochlorin B;merochlorin D;merochlorin C;marinophenazine A;phenaziterpene A;endophenazine A;endophenazine B;5-acetyl-5,10-dihydrophenazine-1-carboxylic acid;5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid;endophenazine A1;endophenazine F;endophenazine G"
NZ_LQYF01000001.1.region012,NRPS.RRE-containing.T1PKS,Others,GCF_001592685.1,NZ_LQYF01000001,2011,2011,2011,36,35,unknown_family,u_Others_35,37,unknown_family,u_Others_37,36,unknown_family,u_Others_36
NZ_LQYF01000001.1.region013,siderophore,Others,GCF_001592685.1,NZ_LQYF01000001,1919,1919,1919,1919,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,4,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B;desferrioxamine E
NZ_LQYF01000002.1.region001,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000002,2046,2046,2046,2175,39,unknown_family,u_NRPS_39,41,unknown_family,u_NRPS_41,40,unknown_family,u_NRPS_40
NZ_LQYF01000002.1.region002,ectoine,Others,GCF_001592685.1,NZ_LQYF01000002,2045,2045,2045,2045,2,known_family,ectoine,2,known_family,ectoine,5,known_family,ectoine
NZ_LQYF01000002.1.region003,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000002,2044,2044,2044,,41,unknown_family,u_Terpene_41,43,unknown_family,u_Terpene_43,42,unknown_family,u_Terpene_42
NZ_LQYF01000002.1.region004,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000002,2360,2422,2422,2175,108,unknown_family,u_NRPS_108,8,unknown_family,u_NRPS_8,11,known_family,salinichelins
NZ_LQYF01000002.1.region005,terpene.T2PKS,Others,GCF_001592685.1,NZ_LQYF01000002,2042,2042,2042,36,36,unknown_family,u_Others_36,38,unknown_family,u_Others_38,37,unknown_family,u_Others_37
NZ_LQYF01000002.1.region006,T1PKS,PKSI,GCF_001592685.1,NZ_LQYF01000002,2041,2041,2041,,32,unknown_family,u_PKSI_32,34,unknown_family,u_PKSI_34,35,unknown_family,u_PKSI_35
NZ_LQYF01000003.1.region001,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000003,2363,2363,2363,2175,109,unknown_family,u_NRPS_109,101,unknown_family,u_NRPS_101,91,unknown_family,u_NRPS_91
NZ_LQYF01000003.1.region002,melanin,Others,GCF_001592685.1,NZ_LQYF01000003,2205,2205,2205,2205,7,unknown_family,u_Others_7,7,unknown_family,u_Others_7,8,known_family,melanin
NZ_LQYF01000003.1.region003,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000003,2365,2365,2365,,43,unknown_family,u_Terpene_43,45,unknown_family,u_Terpene_45,44,unknown_family,u_Terpene_44
NZ_LQYF01000004.1.region001,thioamitides,Others,GCF_001592685.1,NZ_LQYF01000004,2048,2048,2048,36,59,unknown_family,u_Others_59,61,unknown_family,u_Others_61,55,unknown_family,u_Others_55
NZ_LQYF01000005.1.region001,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000005,2047,2047,2047,,44,unknown_family,u_Terpene_44,46,unknown_family,u_Terpene_46,45,unknown_family,u_Terpene_45
NZ_LQYF01000005.1.region002,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000005,2368,2368,2368,2175,110,unknown_family,u_NRPS_110,102,unknown_family,u_NRPS_102,92,unknown_family,u_NRPS_92
NZ_CP018074.1.region001,ectoine,Others,GCF_001886595.1,NZ_CP018074.1,1911,1911,1911,2045,2,known_family,ectoine,2,known_family,ectoine,5,known_family,ectoine
NZ_CP018074.1.region002,terpene,Terpene,GCF_001886595.1,NZ_CP018074.1,2109,2109,2109,,14,unknown_family,u_Terpene_14,12,unknown_family,u_Terpene_12,15,unknown_family,u_Terpene_15
NZ_CP018074.1.region003,T3PKS.NRPS.NRPS-like.T1PKS,PKS-NRP_Hybrids,GCF_001886595.1,NZ_CP018074.1,1913,1913,1913,,22,known_family,venemycin,24,known_family,venemycin,28,known_family,venemycin
NZ_CP018074.1.region004,terpene.lanthipeptide-class-ii,Others,GCF_001886595.1,NZ_CP018074.1,2111,2111,2111,36,20,unknown_family,u_Others_20,20,unknown_family,u_Others_20,23,unknown_family,u_Others_23
NZ_CP018074.1.region005,lanthipeptide-class-iv,RiPPs,GCF_001886595.1,NZ_CP018074.1,2399,2399,2399,552,17,known_family,venezuelin,18,known_family,venezuelin,14,known_family,venezuelin
NZ_CP018074.1.region006,indole,Others,GCF_001886595.1,NZ_CP018074.1,2143,2143,2143,36,26,unknown_family,u_Others_26,28,unknown_family,u_Others_28,32,unknown_family,u_Others_32
NZ_CP018074.1.region007,NRPS-like,NRPS,GCF_001886595.1,NZ_CP018074.1,1917,1917,1917,2175,23,known_family,chloramphenicol,25,known_family,chloramphenicol,29,known_family,chloramphenicol
NZ_CP018074.1.region008,CDPS,Others,GCF_001886595.1,NZ_CP018074.1,1918,1918,1918,36,10,unknown_family,u_Others_10,14,unknown_family,u_Others_14,17,unknown_family,u_Others_17
NZ_CP018074.1.region009,siderophore,Others,GCF_001886595.1,NZ_CP018074.1,1919,1919,1919,1919,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,4,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B;desferrioxamine E
NZ_CP018074.1.region010,lassopeptide,RiPPs,GCF_001886595.1,NZ_CP018074.1,1950,1950,1950,552,29,unknown_family,u_RiPPs_29,31,unknown_family,u_RiPPs_31,34,unknown_family,u_RiPPs_34
NZ_CP018074.1.region011,NRPS-like,NRPS,GCF_001886595.1,NZ_CP018074.1,1981,1981,1981,2235,13,unknown_family,u_NRPS_13,17,unknown_family,u_NRPS_17,20,unknown_family,u_NRPS_20
NZ_CP018074.1.region012,butyrolactone,Others,GCF_001886595.1,NZ_CP018074.1,1982,1982,1982,36,24,unknown_family,u_Others_24,26,unknown_family,u_Others_26,30,unknown_family,u_Others_30
NZ_CP018074.1.region013,melanin,Others,GCF_001886595.1,NZ_CP018074.1,1983,1983,1983,36,3,unknown_family,u_Others_3,4,unknown_family,u_Others_4,7,unknown_family,u_Others_7
NZ_CP018074.1.region014,butyrolactone,Others,GCF_001886595.1,NZ_CP018074.1,2094,2094,2094,2094,11,unknown_family,u_Others_11,15,unknown_family,u_Others_15,18,unknown_family,u_Others_18
NZ_CP018074.1.region015,thiopeptide.LAP,RiPPs,GCF_001886595.1,NZ_CP018074.1,2239,2239,2239,552,18,unknown_family,u_RiPPs_18,21,unknown_family,u_RiPPs_21,24,unknown_family,u_RiPPs_24
NZ_CP018074.1.region016,T3PKS,PKSother,GCF_001886595.1,NZ_CP018074.1,2270,2270,2270,,12,unknown_family,u_PKSother_12,16,unknown_family,u_PKSother_16,19,unknown_family,u_PKSother_19
NZ_CP018074.1.region017,siderophore,Others,GCF_001886595.1,NZ_CP018074.1,2123,2123,2123,36,15,unknown_family,u_Others_15,19,unknown_family,u_Others_19,22,unknown_family,u_Others_22
NZ_CP018074.1.region018,siderophore,Others,GCF_001886595.1,NZ_CP018074.1,2014,2014,2014,36,6,unknown_family,u_Others_6,6,unknown_family,u_Others_6,10,unknown_family,u_Others_10
NZ_CP018074.1.region019,RiPP-like,RiPPs,GCF_001886595.1,NZ_CP018074.1,2125,2125,2125,552,30,unknown_family,u_RiPPs_30,32,unknown_family,u_RiPPs_32,9,unknown_family,u_RiPPs_9
NZ_CP018074.1.region020,butyrolactone.T2PKS,Others,GCF_001886595.1,NZ_CP018074.1,2297,2414,2414,36,4,unknown_family,u_Others_4,5,unknown_family,u_Others_5,1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8
NZ_CP018074.1.region021,NAPAA,NRPS,GCF_001886595.1,NZ_CP018074.1,2415,2415,2415,2175,27,unknown_family,u_NRPS_27,30,unknown_family,u_NRPS_30,33,unknown_family,u_NRPS_33
NZ_CP018074.1.region022,NRPS-like.ladderane.thioamide-NRP.NRPS.RRE-containing,Others,GCF_001886595.1,NZ_CP018074.1,2416,2416,2416,2416,21,unknown_family,u_Others_21,23,unknown_family,u_Others_23,26,unknown_family,u_Others_26
NZ_CP018074.1.region023,terpene,Terpene,GCF_001886595.1,NZ_CP018074.1,2263,2294,2294,,5,unknown_family,u_Terpene_5,3,known_family,hopene,6,known_family,hopene
NZ_CP018074.1.region024,lanthipeptide-class-iii,RiPPs,GCF_001886595.1,NZ_CP018074.1,2418,2418,2418,2418,19,unknown_family,u_RiPPs_19,22,unknown_family,u_RiPPs_22,25,unknown_family,u_RiPPs_25
NZ_CP018074.1.region025,RiPP-like,RiPPs,GCF_001886595.1,NZ_CP018074.1,2131,2131,2131,552,28,unknown_family,u_RiPPs_28,13,unknown_family,u_RiPPs_13,16,unknown_family,u_RiPPs_16
NZ_CP018074.1.region026,T2PKS,PKSother,GCF_001886595.1,NZ_CP018074.1,2420,2163,2420,,16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin,10,known_family,arixanthomycin A;arixanthomycin B;arixanthomycin C;BE-24566B;formicamycins A-M;pradimicin-A;spore pigment;BE-24566B;zunyimycin A;curamycin,3,known_family,erdacin;spore pigment;aranciamycin;curamycin;granaticin;huanglongmycin A;huanglongmycin B;huanglongmycin C;actinorhodin;kinamycin;naphtocyclinone;pradimicin-A;spore pigment;auricin;jadomycin;griseusin;fluostatin;granaticin;rabelomycin;dehydrorabelomycin;fluostatin F;fluostatin G;fluostatin H;frigocyclinone;oviedomycin;BE-7585A;paramagnetoquinone 1;paramagnetoquinone 2;arixanthomycin A;arixanthomycin B;arixanthomycin C;kiamycin;TLN-05220;fluostatins M-Q;BE-24566B;lugdunomycin;setomimycin;mayamycin;julichrome Q3-3;julichrome Q3-5;formicamycins A-M;anthrabenzoxocinone;BE-24566B;zunyimycin A;gilvocarcin V;oviedomycin
NZ_CP018074.1.region027,melanin,Others,GCF_001886595.1,NZ_CP018074.1,2421,2421,2421,2421,7,unknown_family,u_Others_7,7,unknown_family,u_Others_7,8,known_family,melanin
NZ_CP018074.1.region028,NRPS,NRPS,GCF_001886595.1,NZ_CP018074.1,2422,2422,2422,2175,8,unknown_family,u_NRPS_8,8,unknown_family,u_NRPS_8,11,known_family,salinichelins
NZ_CP018074.1.region029,terpene,Terpene,GCF_001886595.1,NZ_CP018074.1,2423,2423,2423,,31,unknown_family,u_Terpene_31,33,unknown_family,u_Terpene_33,21,known_family,2-methylisoborneol
NZ_CP018074.1.region030,T3PKS,PKSother,GCF_001886595.1,NZ_CP018074.1,2136,2136,2136,,38,unknown_family,u_PKSother_38,40,unknown_family,u_PKSother_40,39,unknown_family,u_PKSother_39
NZ_CP018074.1.region031,NRPS.terpene,Others,GCF_001886595.1,NZ_CP018074.1,2079,2079,2079,36,25,unknown_family,u_Others_25,27,unknown_family,u_Others_27,31,unknown_family,u_Others_31
NZ_CP027022.1.region001,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2365,2365,2365,,43,unknown_family,u_Terpene_43,45,unknown_family,u_Terpene_45,44,unknown_family,u_Terpene_44
NZ_CP027022.1.region002,melanin,Others,GCF_002943895.1,NZ_CP027022.1,2205,2205,2205,2205,7,unknown_family,u_Others_7,7,unknown_family,u_Others_7,8,known_family,melanin
NZ_CP027022.1.region003,NRPS,NRPS,GCF_002943895.1,NZ_CP027022.1,2023,2206,2206,2175,45,unknown_family,u_NRPS_45,42,unknown_family,u_NRPS_42,41,unknown_family,u_NRPS_41
NZ_CP027022.1.region004,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2207,2207,2207,,42,unknown_family,u_Terpene_42,44,unknown_family,u_Terpene_44,43,unknown_family,u_Terpene_43
NZ_CP027022.1.region005,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2263,2294,2294,,5,unknown_family,u_Terpene_5,3,known_family,hopene,6,known_family,hopene
NZ_CP027022.1.region006,butyrolactone.furan,Others,GCF_002943895.1,NZ_CP027022.1,2324,2324,2324,36,37,unknown_family,u_Others_37,39,unknown_family,u_Others_39,38,unknown_family,u_Others_38
NZ_CP027022.1.region007,T2PKS.oligosaccharide,Others,GCF_002943895.1,NZ_CP027022.1,2323,2323,2032,36,34,unknown_family,u_Others_34,36,unknown_family,u_Others_36,1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8
NZ_CP027022.1.region008,NRPS.butyrolactone,Others,GCF_002943895.1,NZ_CP027022.1,2322,2322,2033,36,4,unknown_family,u_Others_4,5,unknown_family,u_Others_5,1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8
NZ_CP027022.1.region009,terpene,Terpene,GCF_002943895.1,NZ_CP027022.1,2034,2034,2321,,40,unknown_family,u_Terpene_40,9,known_family,isorenieratene;isorenieratene;isorenieratene;carotenoid;carotenoid,13,known_family,isorenieratene;isorenieratene;isorenieratene;carotenoid;carotenoid
NZ_CP027022.1.region010,RiPP-like,RiPPs,GCF_002943895.1,NZ_CP027022.1,2015,2015,2015,552,9,unknown_family,u_RiPPs_9,11,unknown_family,u_RiPPs_11,9,unknown_family,u_RiPPs_9
NZ_CP027022.1.region011,siderophore,Others,GCF_002943895.1,NZ_CP027022.1,2014,2014,2014,36,6,unknown_family,u_Others_6,6,unknown_family,u_Others_6,10,unknown_family,u_Others_10
NZ_CP027022.1.region012,melanin,Others,GCF_002943895.1,NZ_CP027022.1,2332,2332,2332,36,3,unknown_family,u_Others_3,4,unknown_family,u_Others_4,7,unknown_family,u_Others_7
NZ_CP027022.1.region013,phenazine.NRPS,Others,GCF_002943895.1,NZ_CP027022.1,2012,2012,2012,36,33,unknown_family,u_Others_33,35,unknown_family,u_Others_35,12,known_family,"furaquinocin B;napyradiomycin A80915C;lomofungin;napyradiomycin;pyocyanine;streptophenazine B;streptophenazine C;streptophenazine F;streptophenazine G;streptophenazine H;merochlorin A;merochlorin B;deschloro-merochlorin A;deschloro-merochlorin B;isochloro-merochlorin B;dichloro-merochlorin B;merochlorin D;merochlorin C;marinophenazine A;phenaziterpene A;endophenazine A;endophenazine B;5-acetyl-5,10-dihydrophenazine-1-carboxylic acid;5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid;endophenazine A1;endophenazine F;endophenazine G"
NZ_CP027022.1.region014,NRPS.RRE-containing.T1PKS,Others,GCF_002943895.1,NZ_CP027022.1,2011,2011,2011,36,35,unknown_family,u_Others_35,37,unknown_family,u_Others_37,36,unknown_family,u_Others_36
