,product,bigscape_class,biosyn_class,compounds,chem_acts,accession,completeness,organism_name,ncbi_tax_id,publications,evidence,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30
BGC0000693.1,amglyccycl,Saccharides,Saccharide,butirosin A;butirosin B,,AB097196.1,Unknown,Bacillus circulans,1397,pubmed:11132962;pubmed:16156513,,,,,,,,
BGC0000694.1,amglyccycl,Saccharides,Saccharide,butirosin,,AJ781030.2,Unknown,Bacillus circulans,1397,pubmed:16156513,,,,,,,,
BGC0000696.1,amglyccycl,Saccharides,Saccharide,gentamicin,,AJ628149.4,Unknown,Micromonospora echinospora,1877,pubmed:15376556;pubmed:19362651,,,,,,,,
BGC0000699.1,amglyccycl,Saccharides,Saccharide,hygromycin A,,AJ628642.1,Unknown,Streptomyces hygroscopicus subsp. hygroscopicus,68042,pubmed:19362651;doi:10.1021/ja01544a032;doi:10.1002/9780470149676.ch2,,,,,,,,
BGC0000701.1,amglyccycl,Saccharides,Saccharide,jinggangmycin,,DQ160226.1,Unknown,Streptomyces hygroscopicus subsp. yingchengensis,228732,pubmed:16680521,,,,,,,,
BGC0000702.1,amglyccycl,Saccharides,Saccharide,kanamycin,,AB164642.1,Unknown,Streptomyces kanamyceticus,1967,pubmed:15303497,,,,,,,,
BGC0000704.1,amglyccycl,Saccharides,Saccharide,kanamycin,,AJ582817.3,Unknown,Streptomyces kanamyceticus,1967,pubmed:15313224,,,,,,,,
BGC0000705.1,amglyccycl,Saccharides,Saccharide,kanamycin,,AJ628422.2,Unknown,Streptomyces kanamyceticus,1967,pubmed:19362651;doi:10.1002/9780470149676.ch2,,,,,,,,
BGC0000706.1,,Others,Saccharide,kanamycin,,AB254081.1,Unknown,Streptomyces kanamyceticus,1967,pubmed:16766657,,671,671,2295,36,47,known_family,kanamycin
BGC0000708.1,amglyccycl,Saccharides,Saccharide,lividomycin,,AJ748832.1,Unknown,Streptomyces lividus,282216,pubmed:19362651;doi:10.1002/9780470149676.ch2,,,,,,,,
BGC0000709.1,amglyccycl,Saccharides,Saccharide,neomycin,,AJ629247.1,Unknown,Streptomyces fradiae ATCC 10745 = DSM 40063,1319510,pubmed:19362651;doi:10.1002/9780470149676.ch2,,,,,,,,
BGC0000711.1,amglyccycl,Saccharides,Saccharide,neomycin,,AJ843080.1,Unknown,Streptomyces fradiae,1906,pubmed:15827636,,,,,,,,
BGC0000713.1,amglyccycl,Saccharides,Saccharide,ribostamycin,,AJ748131.1,Unknown,Streptomyces ribosidificus,80859,pubmed:16258246,,,,,,,,
BGC0000714.1,amglyccycl,Saccharides,Saccharide,sisomicin,,FJ160413.1,Unknown,Micromonospora inyonensis,47866,pubmed:19039528,,,,,,,,
BGC0000715.1,amglyccycl,Saccharides,Saccharide,actinospectacin,,EU255259.1,Unknown,Streptomyces spectabilis,68270,pubmed:10650224;pubmed:18663525,,,,,,,,
BGC0000716.1,amglyccycl,Saccharides,Saccharide,spectinomycin,,U70376.2,Unknown,Streptomyces netropsis,55404,pubmed:9245803,,,,,,,,
BGC0000719.1,amglyccycl,Saccharides,Saccharide,tobramycin,,AB103327.1,Unknown,Streptoalloteichus hindustanus,2017,pubmed:16915821,,,,,,,,
BGC0000720.1,amglyccycl,Saccharides,Saccharide,tobramycin,,AJ579650.1,Unknown,Streptoalloteichus tenebrarius,1933,pubmed:14757238,,,,,,,,
BGC0000721.1,amglyccycl,Saccharides,Saccharide,tobramycin,,AJ810851.1,Unknown,Streptoalloteichus tenebrarius,1933,pubmed:19362651;doi:10.1002/9780470149676.ch2,,,,,,,,
BGC0000722.1,amglyccycl,Saccharides,Other;Polyketide,validamycin A,Antifungal,DQ164098.1,complete,Streptomyces hygroscopicus subsp. jinggangensis,311982,pubmed:16632251;pubmed:16151088;pubmed:17335096;pubmed:18563934;pubmed:19477421,Knock-out studies;Enzymatic assays;Heterologous expression;Gene expression correlated with compound production;Sequence-based prediction,,,,,,,
BGC0000723.1,amglyccycl,Saccharides,Saccharide,β-D-galactosylvalidoxylamine-A,,DQ223652.1,Unknown,Streptomyces hygroscopicus subsp. limoneus,264445,pubmed:16725283,,,,,,,,
BGC0000724.1,amglyccycl,Saccharides,Saccharide,streptomycin,,AP009493.1,Unknown,Streptomyces griseus subsp. griseus NBRC 13350,455632,pubmed:18375553;pubmed:18364359;pubmed:18310036,,,,,,,,
BGC0000853.1,ectoine,Others,Other,ectoine,,AY524544.1,Unknown,Streptomyces anulatus,1892,pubmed:15128576,,2045,2045,2045,2045,2,known_family,ectoine
BGC0000893.1,NRPS-like,NRPS,NRP,chloramphenicol,Antibacterial,FR845719.1,complete,Streptomyces venezuelae ATCC 10712,953739,pubmed:11577160;pubmed:25267678;pubmed:20876130;pubmed:15184904;pubmed:20713732;pubmed:24347692;pubmed:19255478;pubmed:14702400,Knock-out studies;Enzymatic assays;Heterologous expression;Gene expression correlated with compound production;Sequence-based prediction,1917,1917,1917,2175,23,known_family,chloramphenicol
BGC0000912.1,melanin,Others,Other,melanin,,AP009493.1,Unknown,Streptomyces griseus subsp. griseus NBRC 13350,455632,pubmed:18375553;pubmed:18364359;pubmed:18310036,,867,867,2383,36,63,known_family,melanin
BGC0000940.1,siderophore,Others,Other,desferrioxamin B;desferrioxamine E,Siderophore,AL645882.2,complete,Streptomyces coelicolor A3(2),100226,pubmed:15600304;pubmed:17074905;pubmed:17704771;pubmed:21342472,Knock-out studies;Enzymatic assays;Sequence-based prediction,1919,1919,1919,1919,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B
BGC0000941.1,siderophore,Others,Other,desferrioxamin B,,AP009493.1,Unknown,Streptomyces griseus subsp. griseus NBRC 13350,455632,pubmed:18375553;pubmed:18364359;pubmed:18310036,,1919,1919,1919,1919,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B
BGC0001366.1,T2PKS,PKSother,Polyketide,BE-24566B;zunyimycin A,,KU243130.1,Unknown,Streptomyces sp. FJS31-2,1840610,pubmed:27248985,,1273,1273,1273,,16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin
BGC0001453.1,siderophore,Others,Other,desferrioxamine,,LT989883.1,Unknown,Streptomyces argillaceus,41951,pubmed:29795673,,2010,2010,2010,2010,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B
BGC0001478.1,siderophore,Others,Other,desferrioxamine E,Siderophore,MG459167.1,complete,Streptomyces sp. ID38640,1265399,doi:10.1016/j.chembiol.2018.02.00,Sequence-based prediction,1919,1919,1919,1919,1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B
BGC0001512.1,T2PKS,PKSother,Polyketide,BE-24566B,,KY964612.1,Unknown,Streptomyces sp.,1931,pubmed:29227089,,1273,1273,1273,,16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin
BGC0001513.1,T2PKS,PKSother,Polyketide,anthrabenzoxocinone,,KY978480.1,Unknown,Actinobacteria bacterium,1883427,pubmed:29227089,,1411,1411,1273,,50,known_family,anthrabenzoxocinone;spore pigment
BGC0001603.1,amglyccycl,Saccharides,Saccharide,gentamicin,,KY971520.1,Unknown,Micromonospora echinospora,1877,pubmed:25641167,,,,,,,,
BGC0001726.1,NRPS.T1PKS,PKS-NRP_Hybrids,NRP;Polyketide,pactamides,,KU569222.1,Unknown,Streptomyces pactum,68249,pubmed:28451290,,1613,949,949,,49,known_family,pactamides
BGC0001819.1,T3PKS.NRPS-like.T1PKS,PKS-NRP_Hybrids,Polyketide,venemycin,,NZ_CP018074.1,Unknown,Streptomyces venezuelae,54571,pubmed:27605017,,1913,1913,1913,,22,known_family,venemycin
