,fam_type,fam_name,clusters_in_fam,mibig_ids
96,unknown_family,u_Others_96,1,
97,unknown_family,u_Others_97,1,
98,unknown_family,u_PKS-NRP_Hybrids_98,1,
99,unknown_family,u_PKSother_99,1,
100,unknown_family,u_PKSother_100,1,
101,unknown_family,u_PKSother_101,1,
102,unknown_family,u_PKSother_102,1,
103,unknown_family,u_NRPS_103,1,
104,unknown_family,u_NRPS_104,1,
105,unknown_family,u_NRPS_105,1,
106,unknown_family,u_NRPS_106,1,
107,unknown_family,u_NRPS_107,1,
108,unknown_family,u_NRPS_108,1,
109,unknown_family,u_NRPS_109,1,
110,unknown_family,u_NRPS_110,1,
111,unknown_family,u_NRPS_111,1,
112,unknown_family,u_NRPS_112,1,
113,unknown_family,u_NRPS_113,1,
114,unknown_family,u_NRPS_114,1,
115,unknown_family,u_RiPPs_115,1,
116,unknown_family,u_RiPPs_116,1,
117,unknown_family,u_RiPPs_117,1,
118,unknown_family,u_RiPPs_118,1,
119,unknown_family,u_RiPPs_119,1,
120,unknown_family,u_RiPPs_120,1,
121,unknown_family,u_RiPPs_121,1,
122,unknown_family,u_RiPPs_122,1,
123,unknown_family,u_RiPPs_123,1,
124,unknown_family,u_RiPPs_124,1,
125,unknown_family,u_RiPPs_125,1,
126,unknown_family,u_RiPPs_126,1,
127,unknown_family,u_RiPPs_127,1,
128,unknown_family,u_RiPPs_128,1,
129,unknown_family,u_RiPPs_129,1,
130,unknown_family,u_Terpene_130,1,
131,unknown_family,u_Terpene_131,1,
132,unknown_family,u_Terpene_132,1,
133,unknown_family,u_Terpene_133,1,
134,unknown_family,u_Terpene_134,1,
135,unknown_family,u_Terpene_135,1,
136,unknown_family,u_Terpene_136,1,
137,unknown_family,u_Terpene_137,1,
138,unknown_family,u_Terpene_138,1,
139,unknown_family,u_Terpene_139,1,
140,unknown_family,u_Terpene_140,1,
