,product,bigscape_class,genome_id,accn_id,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,bigslice_query,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,on_contig_edge,length_nt
NC_018750.1.region017,siderophore,Others,GCF_000253235.1,NC_018750.1,2123.0,2123.0,2123.0,36.0,15.0,unknown_family,u_Others_15,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,12463.0
NC_018750.1.region018,siderophore,Others,GCF_000253235.1,NC_018750.1,2014.0,2014.0,2014.0,36.0,6.0,unknown_family,u_Others_6,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,14422.0
NC_018750.1.region019,RiPP-like,RiPPs,GCF_000253235.1,NC_018750.1,2125.0,2125.0,2125.0,552.0,30.0,unknown_family,u_RiPPs_30,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10830.0
NC_018750.1.region020,butyrolactone.T2PKS,Others,GCF_000253235.1,NC_018750.1,2297.0,2414.0,2414.0,36.0,4.0,unknown_family,u_Others_4,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,72595.0
NC_018750.1.region021,NAPAA,NRPS,GCF_000253235.1,NC_018750.1,2415.0,2415.0,2415.0,2175.0,27.0,unknown_family,u_NRPS_27,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,33903.0
NC_018750.1.region022,NRPS-like.ladderane.thioamide-NRP.NRPS.RRE-containing,Others,GCF_000253235.1,NC_018750.1,2416.0,2416.0,2416.0,2416.0,21.0,unknown_family,u_Others_21,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,122089.0
NC_018750.1.region023,terpene,Terpene,GCF_000253235.1,NC_018750.1,2263.0,2294.0,2294.0,,5.0,unknown_family,u_Terpene_5,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,25120.0
NC_018750.1.region024,lanthipeptide-class-iii,RiPPs,GCF_000253235.1,NC_018750.1,2418.0,2418.0,2418.0,2418.0,19.0,unknown_family,u_RiPPs_19,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,22628.0
NC_018750.1.region025,RiPP-like,RiPPs,GCF_000253235.1,NC_018750.1,2131.0,2131.0,2131.0,552.0,28.0,unknown_family,u_RiPPs_28,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10855.0
NC_018750.1.region026,T2PKS,PKSother,GCF_000253235.1,NC_018750.1,2420.0,2163.0,2420.0,,16.0,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,72513.0
NC_018750.1.region027,melanin,Others,GCF_000253235.1,NC_018750.1,2421.0,2421.0,2421.0,2421.0,7.0,unknown_family,u_Others_7,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10390.0
NC_018750.1.region028,NRPS,NRPS,GCF_000253235.1,NC_018750.1,2422.0,2422.0,2422.0,2175.0,8.0,unknown_family,u_NRPS_8,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,52839.0
NC_018750.1.region029,terpene,Terpene,GCF_000253235.1,NC_018750.1,2423.0,2423.0,2423.0,,31.0,unknown_family,u_Terpene_31,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,20023.0
NC_018750.1.region030,T3PKS,PKSother,GCF_000253235.1,NC_018750.1,2136.0,2136.0,2136.0,,38.0,unknown_family,u_PKSother_38,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,41158.0
NC_018750.1.region031,NRPS.terpene,Others,GCF_000253235.1,NC_018750.1,2079.0,2079.0,2079.0,36.0,25.0,unknown_family,u_Others_25,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,1.0,36224.0
NZ_LQYF01000001.1.region001,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000001,2023.0,2206.0,2206.0,2175.0,45.0,unknown_family,u_NRPS_45,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,31568.0
NZ_LQYF01000001.1.region002,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000001,2207.0,2207.0,2207.0,,42.0,unknown_family,u_Terpene_42,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,19810.0
NZ_LQYF01000001.1.region003,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000001,2263.0,2294.0,2294.0,,5.0,unknown_family,u_Terpene_5,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,25018.0
NZ_LQYF01000001.1.region004,butyrolactone.furan,Others,GCF_001592685.1,NZ_LQYF01000001,2324.0,2324.0,2324.0,36.0,37.0,unknown_family,u_Others_37,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,26060.0
NZ_LQYF01000001.1.region005,T2PKS.oligosaccharide,Others,GCF_001592685.1,NZ_LQYF01000001,2323.0,2323.0,2032.0,36.0,34.0,unknown_family,u_Others_34,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,72489.0
NZ_LQYF01000001.1.region006,NRPS.butyrolactone,Others,GCF_001592685.1,NZ_LQYF01000001,2322.0,2322.0,2033.0,36.0,4.0,unknown_family,u_Others_4,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,55147.0
NZ_LQYF01000001.1.region007,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000001,2034.0,2034.0,2321.0,,40.0,unknown_family,u_Terpene_40,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,24931.0
NZ_LQYF01000001.1.region008,RiPP-like,RiPPs,GCF_001592685.1,NZ_LQYF01000001,2015.0,2015.0,2015.0,552.0,9.0,unknown_family,u_RiPPs_9,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,11437.0
NZ_LQYF01000001.1.region009,siderophore,Others,GCF_001592685.1,NZ_LQYF01000001,2014.0,2014.0,2014.0,36.0,6.0,unknown_family,u_Others_6,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,15159.0
NZ_LQYF01000001.1.region010,melanin,Others,GCF_001592685.1,NZ_LQYF01000001,2332.0,2332.0,2332.0,36.0,3.0,unknown_family,u_Others_3,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10417.0
NZ_LQYF01000001.1.region011,phenazine.NRPS,Others,GCF_001592685.1,NZ_LQYF01000001,2012.0,2012.0,2012.0,36.0,33.0,unknown_family,u_Others_33,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,70984.0
NZ_LQYF01000001.1.region012,NRPS.RRE-containing.T1PKS,Others,GCF_001592685.1,NZ_LQYF01000001,2011.0,2011.0,2011.0,36.0,35.0,unknown_family,u_Others_35,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,68321.0
NZ_LQYF01000001.1.region013,siderophore,Others,GCF_001592685.1,NZ_LQYF01000001,1919.0,1919.0,1919.0,1919.0,1.0,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,11791.0
NZ_LQYF01000002.1.region001,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000002,2046.0,2046.0,2046.0,2175.0,39.0,unknown_family,u_NRPS_39,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,33361.0
NZ_LQYF01000002.1.region002,ectoine,Others,GCF_001592685.1,NZ_LQYF01000002,2045.0,2045.0,2045.0,2045.0,2.0,known_family,ectoine,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10438.0
NZ_LQYF01000002.1.region003,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000002,2044.0,2044.0,2044.0,,41.0,unknown_family,u_Terpene_41,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,21064.0
NZ_LQYF01000002.1.region004,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000002,2360.0,2422.0,2422.0,2175.0,108.0,unknown_family,u_NRPS_108,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,96264.0
NZ_LQYF01000002.1.region005,terpene.T2PKS,Others,GCF_001592685.1,NZ_LQYF01000002,2042.0,2042.0,2042.0,36.0,36.0,unknown_family,u_Others_36,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,72501.0
NZ_LQYF01000002.1.region006,T1PKS,PKSI,GCF_001592685.1,NZ_LQYF01000002,2041.0,2041.0,2041.0,,32.0,unknown_family,u_PKSI_32,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,96481.0
NZ_LQYF01000003.1.region001,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000003,2363.0,2363.0,2363.0,2175.0,109.0,unknown_family,u_NRPS_109,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,1.0,23741.0
NZ_LQYF01000003.1.region002,melanin,Others,GCF_001592685.1,NZ_LQYF01000003,2205.0,2205.0,2205.0,2205.0,7.0,unknown_family,u_Others_7,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,10390.0
NZ_LQYF01000003.1.region003,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000003,2365.0,2365.0,2365.0,,43.0,unknown_family,u_Terpene_43,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20954.0
NZ_LQYF01000004.1.region001,thioamitides,Others,GCF_001592685.1,NZ_LQYF01000004,2048.0,2048.0,2048.0,36.0,59.0,unknown_family,u_Others_59,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,22323.0
NZ_LQYF01000005.1.region001,terpene,Terpene,GCF_001592685.1,NZ_LQYF01000005,2047.0,2047.0,2047.0,,44.0,unknown_family,u_Terpene_44,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,0.0,20927.0
NZ_LQYF01000005.1.region002,NRPS,NRPS,GCF_001592685.1,NZ_LQYF01000005,2368.0,2368.0,2368.0,2175.0,110.0,unknown_family,u_NRPS_110,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bikiniensis,s__Streptomyces bikiniensis,1.0,26167.0
NZ_CP018074.1.region001,ectoine,Others,GCF_001886595.1,NZ_CP018074.1,1911.0,1911.0,1911.0,2045.0,2.0,known_family,ectoine,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10417.0
NZ_CP018074.1.region002,terpene,Terpene,GCF_001886595.1,NZ_CP018074.1,2109.0,2109.0,2109.0,,14.0,unknown_family,u_Terpene_14,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,20952.0
NZ_CP018074.1.region003,T3PKS.NRPS.NRPS-like.T1PKS,PKS-NRP_Hybrids,GCF_001886595.1,NZ_CP018074.1,1913.0,1913.0,1913.0,,22.0,known_family,venemycin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,99610.0
NZ_CP018074.1.region004,terpene.lanthipeptide-class-ii,Others,GCF_001886595.1,NZ_CP018074.1,2111.0,2111.0,2111.0,36.0,20.0,unknown_family,u_Others_20,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,29650.0
NZ_CP018074.1.region005,lanthipeptide-class-iv,RiPPs,GCF_001886595.1,NZ_CP018074.1,2399.0,2399.0,2399.0,552.0,17.0,known_family,venezuelin,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,22853.0
NZ_CP018074.1.region006,indole,Others,GCF_001886595.1,NZ_CP018074.1,2143.0,2143.0,2143.0,36.0,26.0,unknown_family,u_Others_26,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,23207.0
NZ_CP018074.1.region007,NRPS-like,NRPS,GCF_001886595.1,NZ_CP018074.1,1917.0,1917.0,1917.0,2175.0,23.0,known_family,chloramphenicol,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,42105.0
NZ_CP018074.1.region008,CDPS,Others,GCF_001886595.1,NZ_CP018074.1,1918.0,1918.0,1918.0,36.0,10.0,unknown_family,u_Others_10,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,20726.0
NZ_CP018074.1.region009,siderophore,Others,GCF_001886595.1,NZ_CP018074.1,1919.0,1919.0,1919.0,1919.0,1.0,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10935.0
NZ_CP018074.1.region010,lassopeptide,RiPPs,GCF_001886595.1,NZ_CP018074.1,1950.0,1950.0,1950.0,552.0,29.0,unknown_family,u_RiPPs_29,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,22360.0
NZ_CP018074.1.region011,NRPS-like,NRPS,GCF_001886595.1,NZ_CP018074.1,1981.0,1981.0,1981.0,2235.0,13.0,unknown_family,u_NRPS_13,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,42240.0
NZ_CP018074.1.region012,butyrolactone,Others,GCF_001886595.1,NZ_CP018074.1,1982.0,1982.0,1982.0,36.0,24.0,unknown_family,u_Others_24,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,8182.0
NZ_CP018074.1.region013,melanin,Others,GCF_001886595.1,NZ_CP018074.1,1983.0,1983.0,1983.0,36.0,3.0,unknown_family,u_Others_3,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,8217.0
NZ_CP018074.1.region014,butyrolactone,Others,GCF_001886595.1,NZ_CP018074.1,2094.0,2094.0,2094.0,2094.0,11.0,unknown_family,u_Others_11,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,41107.0
NZ_CP018074.1.region015,thiopeptide.LAP,RiPPs,GCF_001886595.1,NZ_CP018074.1,2239.0,2239.0,2239.0,552.0,18.0,unknown_family,u_RiPPs_18,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,33163.0
NZ_CP018074.1.region016,T3PKS,PKSother,GCF_001886595.1,NZ_CP018074.1,2270.0,2270.0,2270.0,,12.0,unknown_family,u_PKSother_12,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,38381.0
NZ_CP018074.1.region017,siderophore,Others,GCF_001886595.1,NZ_CP018074.1,2123.0,2123.0,2123.0,36.0,15.0,unknown_family,u_Others_15,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,12463.0
NZ_CP018074.1.region018,siderophore,Others,GCF_001886595.1,NZ_CP018074.1,2014.0,2014.0,2014.0,36.0,6.0,unknown_family,u_Others_6,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,14896.0
NZ_CP018074.1.region019,RiPP-like,RiPPs,GCF_001886595.1,NZ_CP018074.1,2125.0,2125.0,2125.0,552.0,30.0,unknown_family,u_RiPPs_30,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,10830.0
NZ_CP018074.1.region020,butyrolactone.T2PKS,Others,GCF_001886595.1,NZ_CP018074.1,2297.0,2414.0,2414.0,36.0,4.0,unknown_family,u_Others_4,query,R202,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,venezuelae,s__Streptomyces venezuelae,0.0,71796.0
